season,posteam,field_zone,pass_rate,plays
2025,DAL,5. Goal-to-Go (<10),0.5,68
2025,DEN,1. Own End (75-100),0.6103896103896104,154
2025,DEN,2. Own Mid (50-74),0.6367713004484304,446
2025,DEN,3. Opp Mid (25-49),0.6017316017316018,231
2025,DEN,4. Red Zone (10-24),0.5904761904761905,105
2025,DEN,5. Goal-to-Go (<10),0.44642857142857145,56
2025,DET,1. Own End (75-100),0.6826923076923077,104
2025,DET,2. Own Mid (50-74),0.5733333333333334,300
2025,DET,3. Opp Mid (25-49),0.6120689655172413,232
2025,DET,4. Red Zone (10-24),0.58,100
2025,DET,5. Goal-to-Go (<10),0.45901639344262296,61
2025,GB,1. Own End (75-100),0.6511627906976745,129
2025,GB,2. Own Mid (50-74),0.5534591194968553,318
2025,GB,3. Opp Mid (25-49),0.5373134328358209,268
2025,GB,4. Red Zone (10-24),0.5289256198347108,121
2025,GB,5. Goal-to-Go (<10),0.3559322033898305,59
2025,HOU,1. Own End (75-100),0.625,184
2025,HOU,2. Own Mid (50-74),0.6041131105398457,389
2025,HOU,3. Opp Mid (25-49),0.5643939393939394,264
2025,HOU,4. Red Zone (10-24),0.49572649572649574,117
2025,HOU,5. Goal-to-Go (<10),0.48214285714285715,56
2025,IND,1. Own End (75-100),0.5486725663716814,113
2025,IND,2. Own Mid (50-74),0.62751677852349,298
2025,IND,3. Opp Mid (25-49),0.569377990430622,209
2025,IND,4. Red Zone (10-24),0.5714285714285714,112
2025,IND,5. Goal-to-Go (<10),0.38235294117647056,68
2025,JAX,1. Own End (75-100),0.5916666666666667,120
2025,JAX,2. Own Mid (50-74),0.6419354838709678,310
2025,JAX,3. Opp Mid (25-49),0.5576036866359447,217
2025,JAX,4. Red Zone (10-24),0.5040650406504065,123
2025,JAX,5. Goal-to-Go (<10),0.48214285714285715,56
2025,KC,1. Own End (75-100),0.5546875,128
2025,KC,2. Own Mid (50-74),0.6231003039513677,329
2025,KC,3. Opp Mid (25-49),0.6711111111111111,225
2025,KC,4. Red Zone (10-24),0.5166666666666667,120
2025,KC,5. Goal-to-Go (<10),0.5897435897435898,78
2025,LA,1. Own End (75-100),0.6440677966101694,118
2025,LA,2. Own Mid (50-74),0.6553524804177546,383
2025,LA,3. Opp Mid (25-49),0.6145454545454545,275
2025,LA,4. Red Zone (10-24),0.6170212765957447,141
2025,LA,5. Goal-to-Go (<10),0.5393258426966292,89
2025,LAC,1. Own End (75-100),0.6303030303030303,165
2025,LAC,2. Own Mid (50-74),0.56657223796034,353
2025,LAC,3. Opp Mid (25-49),0.5982142857142857,224
2025,LAC,4. Red Zone (10-24),0.63,100
2025,LAC,5. Goal-to-Go (<10),0.5283018867924528,53
2025,LV,1. Own End (75-100),0.5779816513761468,109
2025,LV,2. Own Mid (50-74),0.5880503144654088,318
2025,LV,3. Opp Mid (25-49),0.6303030303030303,165
2025,LV,4. Red Zone (10-24),0.6388888888888888,72
2025,LV,5. Goal-to-Go (<10),0.5555555555555556,27
2025,MIA,1. Own End (75-100),0.51,100
