season,posteam,down,dist_bucket,pass_rate,epa,success,plays
2023,LAC,3,Long (10+),0.918918918918919,-0.518517922628406,0.1891891891891892,37
2023,LAC,3,Med-Short (3-5),0.78,-0.2138231257999197,0.44,50
2023,LAC,3,Medium (6-9),0.9193548387096774,-0.06554942757140726,0.3870967741935484,62
2023,LAC,3,Short (1-2),0.4666666666666667,-0.26957833232164014,0.5555555555555556,45
2023,LAC,4,Long (10+),1.0,-2.619527294766158,0.0,1
2023,LAC,4,Med-Short (3-5),1.0,-0.4683628437342122,0.3333333333333333,3
2023,LAC,4,Medium (6-9),1.0,0.26567036571213976,0.5,2
2023,LAC,4,Short (1-2),0.5294117647058824,0.5680918113777058,0.5882352941176471,17
2023,LV,1,Long (10+),0.5067114093959731,-0.09169422856802761,0.36577181208053694,298
2023,LV,1,Med-Short (3-5),0.16666666666666666,-0.9068773316248553,0.5,6
2023,LV,1,Medium (6-9),0.0,-0.23979775529005565,0.2,5
2023,LV,1,Short (1-2),0.0,0.2906765528721735,0.6,5
2023,LV,2,Long (10+),0.7191011235955056,-0.18014045887406957,0.39325842696629215,89
2023,LV,2,Med-Short (3-5),0.3584905660377358,-0.08753008000390113,0.49056603773584906,53
2023,LV,2,Medium (6-9),0.6190476190476191,-0.12951228814060978,0.36904761904761907,84
2023,LV,2,Short (1-2),0.17391304347826086,0.09716163713196495,0.6521739130434783,23
2023,LV,3,Long (10+),0.9310344827586207,-0.03582930973708916,0.3103448275862069,29
2023,LV,3,Med-Short (3-5),0.9,-0.3289119305634041,0.36,50
2023,LV,3,Medium (6-9),0.9090909090909091,-0.30962802449660903,0.3181818181818182,44
2023,LV,3,Short (1-2),0.3939393939393939,0.05196061218774765,0.6363636363636364,33
2023,LV,4,Long (10+),1.0,3.8046294054947793,1.0,1
2023,LV,4,Med-Short (3-5),1.0,-3.0340206703403965,0.0,1
2023,LV,4,Medium (6-9),1.0,-3.7260655046557076,0.0,1
2023,LV,4,Short (1-2),0.375,1.9409084082435584,0.875,8
2023,MIA,1,Long (10+),0.5211726384364821,0.09258602052903886,0.49185667752442996,307
2023,MIA,1,Med-Short (3-5),0.4166666666666667,0.32056873873564956,0.5833333333333334,12
2023,MIA,1,Medium (6-9),0.25,-0.04973764896082381,0.5833333333333334,12
2023,MIA,1,Short (1-2),0.5,-0.48854153209686046,0.5,8
2023,MIA,2,Long (10+),0.7428571428571429,0.036166937811815715,0.4142857142857143,70
2023,MIA,2,Med-Short (3-5),0.5094339622641509,0.3345034136744392,0.5849056603773585,53
2023,MIA,2,Medium (6-9),0.7176470588235294,0.16943667022894848,0.49411764705882355,85
2023,MIA,2,Short (1-2),0.5416666666666666,-0.1280937663044218,0.5,24
2023,MIA,3,Long (10+),0.9722222222222222,-0.08524397559774906,0.3333333333333333,36
2023,MIA,3,Med-Short (3-5),0.9117647058823529,0.2188670685660758,0.5,34
2023,MIA,3,Medium (6-9),1.0,0.6525831084273295,0.5,40
2023,MIA,3,Short (1-2),0.5238095238095238,-0.025250387332735796,0.5238095238095238,21
2023,MIA,4,Med-Short (3-5),0.75,0.29613210818206426,0.5,4
2023,MIA,4,Medium (6-9),1.0,3.41833027190296,1.0,1
2023,MIA,4,Short (1-2),0.8333333333333334,-1.1357122780755162,0.3333333333333333,6
2023,MIN,1,Long (10+),0.5318559556786704,-0.10526967579366671,0.4155124653739612,361
2023,MIN,1,Med-Short (3-5),0.42857142857142855,0.10715584849406566,0.42857142857142855,7
2023,MIN,1,Medium (6-9),0.7272727272727273,-0.44140836654167454,0.2727272727272727,11
2023,MIN,1,Short (1-2),0.2857142857142857,-0.2742493242299783,0.2857142857142857,7
2023,MIN,2,Long (10+),0.7019230769230769,-0.09313950186837107,0.3269230769230769,104
