season,posteam,formation,play_type,epa_per_play,plays
2025,KC,Shotgun,run,0.04519620836216699,217
2025,KC,Under Center,pass,-0.2415101781717828,38
2025,KC,Under Center,run,0.06736983590963064,128
2025,LA,Shotgun,pass,0.24032953283017086,405
2025,LA,Shotgun,run,0.12910024184212449,46
2025,LA,Under Center,pass,0.21447009171395695,226
2025,LA,Under Center,run,0.025313502038604527,329
2025,LAC,Shotgun,pass,-0.11051343468928508,446
2025,LAC,Shotgun,run,0.09544833368218415,191
2025,LAC,Under Center,pass,0.16425138413090334,83
2025,LAC,Under Center,run,-0.07534105152298962,175
2025,LV,Shotgun,pass,-0.30583690388414186,340
2025,LV,Shotgun,run,-0.10402732322449917,98
2025,LV,Under Center,pass,-0.06545220522365222,75
2025,LV,Under Center,run,-0.27112532572234127,178
2025,MIA,Shotgun,pass,-0.02051844043662573,290
2025,MIA,Shotgun,run,-0.02456137414497127,185
2025,MIA,Under Center,pass,0.2874818052263105,66
2025,MIA,Under Center,run,0.08985900149660218,111
2025,MIN,Shotgun,pass,-0.18730659227473498,308
2025,MIN,Shotgun,run,0.0802155226672605,80
2025,MIN,Under Center,pass,-0.17071941689879166,100
2025,MIN,Under Center,run,-0.0932497420797989,216
2025,NE,Shotgun,pass,0.14423368321232136,433
2025,NE,Shotgun,run,0.06029384879359529,130
2025,NE,Under Center,pass,0.2979849818840267,121
2025,NE,Under Center,run,-0.025568605264962015,307
2025,NO,Shotgun,pass,-0.05656776664131389,417
2025,NO,Shotgun,run,-0.05970675948397534,208
2025,NO,Under Center,pass,-0.32163922700094694,47
2025,NO,Under Center,run,-0.11030113872418514,137
2025,NYG,Shotgun,pass,-0.005097364044984861,386
2025,NYG,Shotgun,run,0.020393788801690512,262
2025,NYG,Under Center,pass,0.09828617412722451,64
2025,NYG,Under Center,run,-0.04826797158483402,134
2025,NYJ,Shotgun,pass,-0.2723828215651798,269
2025,NYJ,Shotgun,run,-0.04565211509915492,195
2025,NYJ,Under Center,pass,-0.16868299097620398,54
2025,NYJ,Under Center,run,-0.1544309296273273,141
2025,PHI,Shotgun,pass,-0.0049186202613162545,441
2025,PHI,Shotgun,run,0.012315309255630987,242
2025,PHI,Under Center,pass,0.3367537787870428,43
2025,PHI,Under Center,run,0.04281172759352637,138
2025,PIT,Shotgun,pass,0.006447080359246126,443
2025,PIT,Shotgun,run,-0.02591682692454195,145
2025,PIT,Under Center,pass,-0.07948614507365753,85
2025,PIT,Under Center,run,0.10271871350713979,209
2025,SEA,Shotgun,pass,0.08153744394829499,320
2025,SEA,Shotgun,run,-0.08575642860714644,104
2025,SEA,Under Center,pass,0.21885480597233203,142
2025,SEA,Under Center,run,-0.015699455495466256,267
2025,SF,Shotgun,pass,0.17282389331774833,412
2025,SF,Shotgun,run,0.0033795981863717047,124
2025,SF,Under Center,pass,0.10697161573778277,143
2025,SF,Under Center,run,-0.03791613798057185,279
2025,TB,Shotgun,pass,-0.062434127535366375,395
2025,TB,Shotgun,run,0.16270297824888855,156
2025,TB,Under Center,pass,0.2599210871867865,78
2025,TB,Under Center,run,-0.029367114365290128,236
2025,TEN,Shotgun,pass,-0.17392818538570734,325
2025,TEN,Shotgun,run,-0.09413598772616967,126
2025,TEN,Under Center,pass,-0.12228539020298168,64
2025,TEN,Under Center,run,-0.19694202097447852,155
2025,WAS,Shotgun,pass,0.0008260157792110995,361
2025,WAS,Shotgun,run,0.051796661205385876,265
2025,WAS,Under Center,pass,-0.12650239614595193,16
2025,WAS,Under Center,run,0.041992273837080006,77
